"Марка","Модель","Год выпуска","Тип кузова","Объём двигателя","Пробег","Цена","Город","Дата публикации","Ссылка на объявление"
Lexus,"GX 460",2014,"Внедорожник","4.6 (бензин)","47 000 км","26 890 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192879209
Porsche,911,2005,"Купе","3.8 (бензин)","67 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192711609
Toyota,"Land Cruiser Prado",2022,"Внедорожник","2.7 (бензин)","48 000 км","26 800 000 ₸","Алматы",2025-07-07T09:51:26+05:00,https://kolesa.kz/a/show/193438162
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)","260 000 км","21 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190277290
Hyundai,Staria,2022,"Минивэн","3.5 (бензин)","55 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/182834162
Voyah,Dream,2022,"Минивэн","1.5 (гибрид)","30 000 км","26 700 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191218352
Li,L8,2024,"Внедорожник","1.5 (гибрид)","18 000 км","21 800 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193187186
BMW,M5,2012,Седан,"4.4 (бензин)","156 000 км","26 700 000 ₸","Алматы",2025-07-07T01:47:33+05:00,https://kolesa.kz/a/show/193429115
Li,L7,2025,"Кроссовер","1.5 (гибрид)",,"26 850 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/188045855
Toyota,Sienna,2021,"Минивэн","2.5 (гибрид)","88 000 км","21 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/178905714
Jeep,Wrangler,2018,"Внедорожник","3.6 (бензин)","77 000 км","23 590 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193467198
BMW,530,2022,Седан,"2 (бензин)","33 000 км","26 850 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191827714
Hyundai,Palisade,2022,"Кроссовер","3.8 (бензин)","32 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193436396
Li,L7,2025,"Кроссовер","1.5 (гибрид)",,"23 600 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192998077
Toyota,"Land Cruiser",2014,"Внедорожник","4.5 (дизель)","142 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192903261
Lexus,"NX 350h",2022,"Кроссовер","2.5 (гибрид)","13 600 км","26 900 000 ₸","Алматы",2025-07-07T18:26:19+05:00,https://kolesa.kz/a/show/192995687
BMW,640,2018,"Лифтбек","3 (бензин)","75 000 км","26 700 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/191348441
Lexus,"RX 200t",2019,"Кроссовер","2 (бензин)","89 000 км","21 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190256016
Li,L6,2025,"Кроссовер","1.5 (гибрид)",,"20 200 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193095341
Tank,300,2024,"Внедорожник","2 (бензин)","29 км","21 800 000 ₸","Алматы",2025-07-07T16:40:21+05:00,https://kolesa.kz/a/show/190106807
Toyota,"Land Cruiser",2016,"Внедорожник","4.6 (бензин)","205 555 км","26 700 000 ₸","Алматы",2025-07-05T14:01:45+05:00,https://kolesa.kz/a/show/193313512
Mercedes-Benz,Sprinter,2021,"Фургон","2.2 (дизель)","160 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/185339834
Kia,Sorento,2023,"Кроссовер","3.5 (бензин)","24 000 км","20 800 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/166334620
Lexus,"LX 570",2013,"Внедорожник","5.7 (бензин)","149 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193161007
Li,L9,2023,"Кроссовер","1.5 (бензин)","85 000 км","20 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192909204
Hyundai,"Santa Fe",2024,"Внедорожник","2.5 (бензин)","36 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/188951812
BMW,X5,2018,"Кроссовер","3 (бензин)","47 000 км","24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189826574
Toyota,"Land Cruiser Prado",2021,"Внедорожник","2.7 (бензин)","54 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192690386
Kia,Telluride,2023,"Внедорожник","3.8 (бензин)","5 400 км","26 700 000 ₸","Алматы",2025-07-04T00:28:37+05:00,https://kolesa.kz/a/show/193209637
Avatr,07,2025,"Кроссовер","1.5 (бензин)",,"20 890 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189913919
Toyota,Highlander,2025,"Кроссовер","2.5 (бензин)",,"28 800 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192384642
Mercedes-Benz,"E 43 AMG",2017,Седан,"3 (бензин)","82 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189602459
Hyundai,Palisade,2023,"Кроссовер","3.8 (бензин)","23 000 км","25 700 000 ₸","Алматы",2025-07-06T19:16:40+05:00,https://kolesa.kz/a/show/192777840
Kia,Sorento,2024,"Кроссовер","2.5 (бензин)","6 500 км","23 100 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/188542722
Toyota,Camry,2024,Седан,"2.5 (гибрид)","7 000 км","23 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191767290
Toyota,"Land Cruiser",2012,"Внедорожник","4 (бензин)","200 000 км","21 900 000 ₸","Алматы",2025-07-07T14:50:27+05:00,https://kolesa.kz/a/show/181228676
Toyota,Fortuner,2022,"Внедорожник","4 (бензин)","15 км","26 700 000 ₸","Алматы",2025-06-30T22:47:00+05:00,https://kolesa.kz/a/show/164231180
Mercedes-Benz,"GLC 300",2020,"Кроссовер","2 (бензин)","40 000 км","26 900 000 ₸","Алматы",2025-07-04T13:38:27+05:00,https://kolesa.kz/a/show/187661828
Lexus,"NX 350",2023,"Кроссовер","2.4 (бензин)","10 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193154394
Hyundai,Palisade,2022,"Кроссовер","3.8 (бензин)","20 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193093839
Li,L9,2024,"Кроссовер","1.5 (бензин)","70 000 км","26 700 000 ₸","Алматы",2025-07-03T23:59:59+05:00,https://kolesa.kz/a/show/191707391
Lexus,"RX 350",2021,"Кроссовер","3.5 (бензин)","70 000 км","26 900 000 ₸","Алматы",2025-07-06T16:08:00+05:00,https://kolesa.kz/a/show/189242801
Mercedes-Benz,Sprinter,2023,"Фургон","2 (дизель)","54 000 км","26 900 000 ₸","Алматы",2025-07-04T18:48:56+05:00,https://kolesa.kz/a/show/187911368
Denza,D9,2024,"Минивэн",,"15 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192161253
BYD,"Tang L",2025,"Внедорожник","1.5 (гибрид)",,"22 200 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190235680
Zeekr,001,2024,"Лифтбек",,"5 500 км","24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/188901100
Ford,Explorer,2021,"Внедорожник","2.3 (бензин)",,"21 800 000 ₸","Алматы",2025-07-06T09:20:50+05:00,https://kolesa.kz/a/show/174389746
BMW,X4,2021,"Кроссовер","2 (дизель)","44 809 км","26 795 000 ₸","Алматы",2025-06-30T23:59:59+05:00,https://kolesa.kz/a/show/192418348
Toyota,4Runner,2019,"Внедорожник","4 (бензин)","135 072 км","28 800 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/188590626
Toyota,Camry,2025,Седан,"2.5 (бензин)","30 км","21 800 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/191752007
Lexus,"ES 250",2019,Седан,"2.5 (бензин)","110 000 км","20 200 000 ₸","Алматы",2025-07-07T09:49:15+05:00,https://kolesa.kz/a/show/191718336
Li,L6,2024,"Кроссовер","1.5 (гибрид)",,"20 200 000 ₸","Алматы",2025-07-05T23:59:59+05:00,https://kolesa.kz/a/show/186781780
Li,L7,2024,"Кроссовер","1.5 (гибрид)","59 000 км","21 800 000 ₸","Алматы",2025-07-06T10:03:43+05:00,https://kolesa.kz/a/show/172991398
Li,L7,2024,"Кроссовер","1.5 (гибрид)","7 500 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192988617
Mercedes-Benz,Sprinter,2015,"Микроавтобус","2.2 (дизель)","400 000 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/165861500
Li,L7,2025,"Кроссовер","1.5 (гибрид)","50 км","26 900 000 ₸","Алматы",2025-07-01T12:10:30+05:00,https://kolesa.kz/a/show/173748421
Li,L7,2025,"Кроссовер","1.5 (гибрид)",,"26 850 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/184706534
Kia,Sorento,2024,"Кроссовер","2.5 (бензин)","4 800 км","20 200 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/193252369
Hyundai,Palisade,2020,"Кроссовер","3.8 (бензин)","601 591 км","20 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192223122
Deepal,S09,2025,"Кроссовер","1.5 (гибрид)",,"23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189925115
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)","160 000 км","24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191920921
Jeep,Wrangler,2021,"Внедорожник","2 (бензин)","38 000 км","28 777 777 ₸","Алматы",2025-07-07T17:04:06+05:00,https://kolesa.kz/a/show/183866588
Toyota,"Land Cruiser Prado",2019,"Внедорожник","2.7 (бензин)","50 000 км","24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192111365
Mercedes-Benz,"E 200",2020,Седан,"2 (бензин)","75 000 км","21 870 000 ₸","Алматы",2025-07-05T22:06:06+05:00,https://kolesa.kz/a/show/192226698
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)","117 000 км","23 800 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193301262
Li,L7,2024,"Кроссовер","1.5 (гибрид)","48 км","22 200 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193184524
Hyundai,Palisade,2021,"Кроссовер","3.5 (бензин)","46 035 км","20 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192691394
Mercedes-Benz,"E 200",2020,Седан,"2 (бензин)","66 000 км","23 200 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192775896
Lexus,"ES 350",2019,Седан,"3.5 (бензин)","130 000 км","25 700 000 ₸","Алматы",2025-07-03T18:35:42+05:00,https://kolesa.kz/a/show/188253385
Li,L7,2025,"Кроссовер","1.5 (гибрид)","20 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191098228
Li,L7,2024,"Кроссовер","1.5 (гибрид)","15 км","23 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/184185812
Kia,K8,2024,Седан,"3.5 (бензин)","13 000 км","20 800 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192084588
Hyundai,Palisade,2023,"Кроссовер","3.8 (бензин)","35 000 км","23 200 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/193381771
Toyota,"Land Cruiser",2014,"Внедорожник","4.6 (бензин)","195 000 км","24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191222047
Honda,Odyssey,2022,"Минивэн","3.5 (бензин)","2 700 км","28 790 000 ₸","Алматы",2025-07-07T13:28:21+05:00,https://kolesa.kz/a/show/190711937
Toyota,"Land Cruiser Prado",2015,"Внедорожник","4 (бензин)",,"20 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193440138
Toyota,Highlander,2022,"Кроссовер","3.5 (бензин)","64 320 км","20 200 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/191879354
Hyundai,Staria,2021,"Минивэн","2.2 (дизель)","59 000 км","21 900 000 ₸","Алматы",2025-07-05T12:42:38+05:00,https://kolesa.kz/a/show/193307342
Toyota,"Land Cruiser",2012,"Внедорожник","4.6 (бензин)","183 000 км","20 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193437543
Mercedes-Benz,"GLE Coupe 400",2015,"Кроссовер","3 (бензин)",,"24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191038087
Toyota,"Land Cruiser",2014,"Внедорожник","4.6 (бензин)","136 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/187059506
Genesis,G80,2022,Седан,"3.5 (бензин)",,"23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191976737
BMW,i5,2025,Седан,,,"22 100 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/189561203
"Land Rover","Range Rover Sport",2014,"Внедорожник","3 (бензин)","147 000 км","20 100 000 ₸","Алматы",2025-07-04T09:12:47+05:00,https://kolesa.kz/a/show/184762403
Toyota,Camry,2024,Седан,"2.5 (бензин)","14 500 км","22 200 000 ₸","Алматы",2025-07-06T19:39:54+05:00,https://kolesa.kz/a/show/184493530
Lexus,"LX 570",2014,"Внедорожник","5.7 (бензин)","181 368 км","25 700 000 ₸","Алматы",2025-07-01T19:30:24+05:00,https://kolesa.kz/a/show/190917212
BMW,520,2022,Седан,"2 (бензин)","20 000 км","26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/158775092
Hyundai,Palisade,2021,"Кроссовер","3.8 (бензин)","65 000 км","20 900 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/192059915
Nissan,GT-R,2009,"Купе","3.8 (бензин)","57 888 км","25 700 000 ₸","Алматы",2025-07-03T16:45:36+05:00,https://kolesa.kz/a/show/159963388
Zeekr,7X,2024,"Кроссовер",,,"22 197 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190244577
Mercedes-Benz,"EQE SUV",2024,"Внедорожник",,,"23 100 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189226836
Toyota,Camry,2024,Седан,"2.5 (бензин)","6 200 км","23 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192096296
Lexus,"GX 460",2014,"Внедорожник","4.6 (бензин)","47 831 км","26 890 000 ₸","Алматы",2025-07-02T20:25:39+05:00,https://kolesa.kz/a/show/193105706
Toyota,Sienna,2021,"Минивэн","2.5 (гибрид)","147 000 км","22 200 000 ₸","Алматы",2025-07-07T00:15:20+05:00,https://kolesa.kz/a/show/188826941
Mercedes-Benz,"S 500",2014,Седан,"4.7 (бензин)",,"26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/183796353
"Land Rover","Range Rover Sport",2015,"Внедорожник","3 (бензин)","70 000 км","21 800 000 ₸","Алматы",2025-07-04T08:12:30+05:00,https://kolesa.kz/a/show/186316471
Hyundai,Palisade,2024,"Кроссовер","3.5 (бензин)","8 792 км","28 800 000 ₸","Алматы",2025-07-01T23:59:59+05:00,https://kolesa.kz/a/show/193008456
Rox,01,2025,"Внедорожник","1.5 (гибрид)",,"26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192961286
Lexus,"RX 300",2019,"Кроссовер","2 (бензин)","62 000 км","24 100 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/170413158
Li,L7,2024,"Кроссовер","1.5 (гибрид)","15 км","23 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190497735
Hyundai,Palisade,2025,"Кроссовер","2.5 (бензин)",,"26 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191967727
Ford,Maverick,2023,"Пикап","2 (бензин)","14 999 км","24 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192220638
Toyota,Hilux,2023,"Пикап","4 (бензин)",,"28 700 000 ₸","Алматы",2025-07-06T10:45:38+05:00,https://kolesa.kz/a/show/187891623
